Date,EST Time,Hour,GMT Time,Date in Zulu/GMT,Retailer,Club #,Lane #,System_ID,Serial #,IPAddress,Message,S Code,E Code,Unique Data,Short Message,Message Explanation
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:37.071Z,BJ's Wholesale Club,8,41,41.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032322500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.342Z,BJ's Wholesale Club,8,40,40.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032322500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.342Z,BJ's Wholesale Club,8,45,45.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032332500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.342Z,BJ's Wholesale Club,8,52,52.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032332500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.342Z,BJ's Wholesale Club,8,53,53.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032322500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:17 AM,4:00 AM,9:17 AM,2021-01-07T09:17:00.195Z,BJ's Wholesale Club,8,43,43.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032322500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:17 AM,4:00 AM,9:17 AM,2021-01-07T09:17:00.226Z,BJ's Wholesale Club,8,51,51.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032342500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:21 AM,4:00 AM,9:21 AM,2021-01-07T09:21:08.766Z,BJ's Wholesale Club,8,42,42.10151,41AEDLT:CC,10.100.214.41,ABC123,13,50,53534420433a203032332500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,3:25 AM,3:00 AM,8:25 AM,2021-01-07T08:25:34.375Z,BJ's Wholesale Club,10,DD,DD.10150,41AGZLL:DD,10.101.4.42,ABC123,13,50,53534420433a203031362500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,3:25 AM,3:00 AM,8:25 AM,2021-01-07T08:25:43.881Z,BJ's Wholesale Club,10,CC,CC.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203030382500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:12 AM,4:00 AM,9:12 AM,2021-01-07T09:12:05.893Z,BJ's Wholesale Club,10,51,51.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203031322500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:12 AM,4:00 AM,9:12 AM,2021-01-07T09:12:05.893Z,BJ's Wholesale Club,10,53,53.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203031312500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:12 AM,4:00 AM,9:12 AM,2021-01-07T09:12:05.893Z,BJ's Wholesale Club,10,54,54.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203031312500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:36.716Z,BJ's Wholesale Club,10,41,41.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203031372500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:37.042Z,BJ's Wholesale Club,10,40,40.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203031382500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.384Z,BJ's Wholesale Club,10,52,52.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203031322500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.397Z,BJ's Wholesale Club,10,42,42.10151,41AGEVV:CC,10.101.4.41,ABC123,13,50,53534420433a203032352500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,3:25 AM,3:00 AM,8:25 AM,2021-01-07T08:25:43.682Z,BJ's Wholesale Club,11,DD,DD.10150,41AFCLH:DD,10.101.24.42,ABC123,13,50,53534420433a203031372500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,3:25 AM,3:00 AM,8:25 AM,2021-01-07T08:25:56.580Z,BJ's Wholesale Club,11,CC,CC.10151,41AFCNG:CC,10.101.24.41,ABC123,13,50,53534420433a203031342500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:13 AM,4:00 AM,9:13 AM,2021-01-07T09:13:49.810Z,BJ's Wholesale Club,11,52,52.10151,41AFCNG:CC,10.101.24.41,ABC123,13,50,53534420433a203030342500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:24.859Z,BJ's Wholesale Club,11,57,57.10151,41AFCNG:CC,10.101.24.41,ABC123,13,50,53534420433a203031372500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
1/7/2021,4:16 AM,4:00 AM,9:16 AM,2021-01-07T09:16:50.220Z,BJ's Wholesale Club,11,40,40.10151,41AFCNG:CC,10.101.24.41,ABC123,13,50,53534420433a203031392500000000000000,ABC123 S013/E0,ABC123 S013/E050 COMMUNICATIONS AND SYS. MANAGEMENT EVENT HAS OCCURRED|
