fecha,variable1,variable2
2022-10-27,262.433925,3.264225
2022-10-28,265.100775,3.276525
2022-10-29,266.570775,3.27705
2022-10-30,267.2916,3.2919
2022-10-30,267.809325,3.337725
2022-10-31,267.8334,3.33795
2022-11-01,271.4454,3.453975
2022-11-02,273.99435,3.468375
2022-11-03,274.503225,3.473025
2022-11-04,277.2525,3.509325
2022-11-05,280.0428,3.5214
2022-11-06,282.07665,3.56775
2022-11-07,282.5634,3.569475
2022-11-08,286.870275,3.65175
2022-11-09,290.11005,3.746925
2022-11-10,293.501475,3.80835
2022-11-11,296.121375,3.8187
2022-11-12,299.156625,3.891
2022-11-13,300.877575,3.913275
2022-11-14,301.36305,3.9297
2022-11-14,303.84615,3.9468
2022-11-15,305.10825,4.004325
2022-11-16,307.963875,4.02735
2022-11-17,311.8122,4.09605
2022-11-18,314.3052,4.10055
2022-11-19,316.05825,4.119525
2022-11-20,316.6866,4.122225
2022-11-21,317.12295,4.122225
2022-11-22,317.596875,4.124325
2022-11-23,320.08905,4.125225
2022-11-24,323.664675,4.16475
2022-11-25,326.232075,4.195575
2022-11-26,328.613475,4.20795
2022-11-27,330.470175,4.212
2022-11-28,330.972375,4.214925
2022-11-29,334.770525,4.3761
2022-11-30,336.720825,4.396125
2022-12-01,339.741,4.42125
2022-12-02,342.56865,4.4721
2022-12-03,345.313725,4.486725
2022-12-04,347.4057,4.55295
2022-12-05,347.848275,4.55295
2022-12-06,350.742075,4.638525
2022-12-07,353.07375,4.6404
2022-12-08,355.7145,4.678725
2022-12-09,357.7413,4.6875
2022-12-10,359.98425,4.736025
2022-12-11,361.5972,4.73955
2022-12-12,362.066325,4.742325
2022-12-13,364.62075,4.7436
2022-12-14,366.619575,4.7619
2022-12-15,369.2127,4.784175
2022-12-16,370.7175,4.784175
2022-12-17,371.63115,4.784175
2022-12-18,372.607275,4.784175
2022-12-19,372.8583,4.784175
2022-12-20,373.878675,4.784175
2022-12-21,374.726175,4.784175
2022-12-22,375.5334,4.784175
